Date,Avg,Low,High
Jan-00,1.1,-2.7,5.1
Feb-00,1.3,-2.9,6
Mar-00,7.9,2.8,13.6
Apr-00,13,7.9,18.5
May-00,19.5,14.2,25.1
Jun-00,23.3,19.2,28.1
Jul-00,26.9,23.4,31.5
Aug-00,26.5,23.6,30.4
Sep-00,21.2,18,25.1
Oct-00,16.7,12.4,21.5
Nov-00,9.4,5.2,14.4
Dec-00,3.9,-0.8,9.2
Jan-01,0.7,-2.9,4.7
Feb-01,4.2,-0.4,8.9
Mar-01,9.1,4,14.8
Apr-01,15.8,9.6,22.3
May-01,20.5,15.5,25.8
Jun-01,23.9,20.1,28.6
Jul-01,27.7,24.1,32
Aug-01,27.2,23.7,31.4
Sep-01,22,17.8,27
Oct-01,16.6,12.5,21.7
Nov-01,8.3,3.5,14.1
Dec-01,1.9,-1.9,6.6
Jan-02,2.3,-1.4,6.7
Feb-02,4,-1.3,10
Mar-02,10.1,4.5,16.4
Apr-02,15.6,9.5,21.5
May-02,18.5,13.3,24
Jun-02,23.3,17.9,29.3
Jul-02,26.1,22.8,30.4
Aug-02,24.9,22.1,28.5
Sep-02,21,16.7,26.1
Oct-02,14.3,9.6,19.9
Nov-02,6.2,1.2,11.6
Dec-02,3.4,-0.2,7.6
Jan-03,-0.4,-4.4,4.3
Feb-03,4,-0.2,8.6
Mar-03,7.8,3.1,12.8
Apr-03,14.1,9.3,19.5
May-03,18.5,13.1,24.1
Jun-03,22.2,18.3,26.6
Jul-03,22.5,19.8,26.1
Aug-03,25,21.7,29.2
Sep-03,22.1,18.5,26.7
Oct-03,15,9.7,20.9
Nov-03,10.9,6.6,15.5
Dec-03,3.3,-0.8,8.2
Jan-04,0.8,-3.3,6
Feb-04,4.8,-0.5,10.6
Mar-04,8.4,2.8,14.6
Apr-04,15.4,9.3,22
May-04,19.4,14.7,24.4
Jun-04,23.1,18.1,28.7
Jul-04,27.3,23.4,31.9
Aug-04,25.8,22.4,30.7
Sep-04,21.6,18,26.3
Oct-04,15.7,10.6,21.5
Nov-04,11,6,16.9
Dec-04,4.8,0.5,9.9
Jan-05,0.7,-3.3,5.4
Feb-05,1.4,-2.6,6
Mar-05,7.2,2,13.1
Apr-05,16,9.8,22.3
May-05,19.5,13.8,25.9
Jun-05,24.9,20.3,30.4
Jul-05,26.4,23,30.8
Aug-05,26.3,22.9,31
Sep-05,22.6,19.3,27.1
Oct-05,15.8,11.3,21.2
Nov-05,10,4.9,15.8
Dec-05,-0.3,-4.4,4.5
Jan-06,2.6,-1.2,7
Feb-06,3.1,-1.3,8.1
Mar-06,8.2,2.8,14.1
Apr-06,13.4,8.6,19.1
May-06,18.9,14.2,24.3
Jun-06,23.4,18.6,28.8
Jul-06,24.2,21.5,27.7
Aug-06,28.2,24.3,33.3
Sep-06,20.6,16.5,25.4
Oct-06,18.6,13.7,24.7
Nov-06,10.2,5.8,15
Dec-06,3.6,-0.5,8.6
Jan-07,3.3,-0.6,8.1
Feb-07,6.2,1.2,11.9
Mar-07,8.8,4.2,14.4
Apr-07,14.2,8.6,19.9
May-07,19.9,14.3,26.3
Jun-07,23,18.6,28.3
Jul-07,24.8,21.5,28.8
Aug-07,27.6,24.2,32
Sep-07,22.4,19.4,25.8
Oct-07,16.7,12.4,21.7
Nov-07,9,4,14.8
Dec-07,4.3,0.8,8.5
Jan-08,1.5,-2,5.6
